Supplementary Table 6a. Dataset of experimentally tested noncoding element-gene connections in K562 cells		
chr	start	end
chr8	130425745	130428265
chr8	130426645	130429365
chr8	130428845	130431345
chr8	130429725	130432265
chr8	130431745	130434245
chr8	130432385	130434905
chr8	130433085	130435585
chr8	130436725	130439225
chr8	130451245	130453765
chr8	130457745	130460305
chr8	130458845	130461345
chr8	130459405	130461905
chr8	130460885	130463445
chr8	130461845	130464365
chr8	130465465	130467985
chr8	130467365	130469885
chr8	130468945	130471605
chr8	130479585	130482165
chr8	130488685	130491225
chr8	130491285	130493805
chr8	130494785	130497325
chr8	130496045	130498545
chr8	130496905	130499405
chr8	130501585	130504125
chr8	130503025	130505545
chr8	130511745	130514265
chr8	130525525	130528025
chr8	130537145	130539685
chr8	130543005	130545525
chr8	130546945	130549685
chr8	130553345	130555845
chr8	130563605	130566165
chr8	130568005	130570525
chr8	130568965	130571465
chr8	130572285	130574805
chr8	130573025	130575525
chr8	130575865	130578365
chr8	130580145	130582645
chr8	130581725	130584745
chr8	130582985	130585505
chr8	130584105	130586665
chr8	130584845	130587765
chr8	130585925	130589225
chr8	130587665	130590165
chr8	130594725	130597225
chr8	130598205	130600705
chr8	130602645	130605165
chr8	130603245	130605765
chr8	130684705	130687345
chr8	130687965	130690485
chr8	130688925	130691425
chr8	130689945	130693125
chr8	130691625	130694125
chr8	130693165	130695685
chr8	130693725	130696225
chr8	130696245	130698905
chr8	130697885	130700385
chr8	130698585	130701085
chr8	130702125	130704625
chr8	130705885	130708405
chr8	130707225	130709745
chr8	130708285	130710805
chr8	130709145	130711645
chr8	130712745	130715285
chr8	130719145	130722065
chr8	130721645	130724205
chr8	130737485	130740005
chr8	130742925	130745425
chrX	48641372	48641493
chrX	48659028	48659074
chrX	48660375	48660526
chrX	48641372	48641493
chrX	48644930	48644969
chrX	48659028	48659074
chr11	3283025	3283525
chr11	3283745	3284245
chr11	3328845	3329345
chr11	3345785	3346285
chr11	3361165	3361665
chr11	3362425	3362945
chr11	3366865	3367365
chr11	3400202	3400705
chr11	3425325	3426265
chr11	3429445	3430345
chr11	3438125	3438625
chr11	3443685	3444185
chr11	3527205	3527705
chr11	3600805	3601305
chr11	3630805	3631345
chr11	3635385	3636265
chr11	3647305	3647939
chr11	3663145	3664765
chr11	3666025	3666610
chr11	3818725	3819298
chr11	3823125	3823625
chr11	3829045	3830005
chr11	3845905	3846425
chr11	3846485	3846985
chr11	3847085	3847625
chr11	3852845	3853365
chr11	3855725	3856625
chr11	3858925	3859445
chr11	3860325	3860865
chr11	3861225	3861725
chr11	3861963	3863265
chr11	3870345	3870865
chr11	3874645	3877545
chr11	3877565	3878085
chr11	3880705	3881465
chr11	3882025	3882525
chr11	3886925	3887885
chr11	3888585	3889085
chr11	3892385	3892885
chr11	3899845	3900365
chr11	3915325	3915905
chr11	3924705	3925205
chr11	3926145	3926645
chr11	3975625	3976145
chr11	3979985	3980605
chr11	3992645	3993525
chr11	3998165	3998725
chr11	4006085	4006585
chr11	4015145	4015645
chr11	4017125	4017645
chr11	4065185	4065725
chr11	4093825	4094385
chr11	4113185	4113705
chr11	4115664	4116225
chr11	4166925	4168165
chr11	4203245	4203765
chr11	4205725	4206225
chr11	4208045	4208631
chr11	4208665	4209245
chr11	4216045	4216565
chr11	4414676	4415225
chr11	4514425	4514925
chr11	4560705	4561205
chr11	4628905	4629785
chr11	4647325	4647865
chr11	4658065	4658585
chr11	4679685	4680725
chr11	4902798	4903785
chr11	4911585	4912085
chr11	4913165	4913705
chr11	5012205	5012765
chr11	5145265	5145765
chr11	5150525	5151065
chr11	5153005	5153525
chr11	5172825	5173849
chr11	5193045	5193545
chr11	5217265	5217765
chr11	5225965	5226485
chr11	5245665	5246505
chr11	5246645	5247185
chr11	5255585	5256125
chr11	5264105	5265345
chr11	5270837	5271645
chr11	5275761	5276545
chr11	5279785	5280285
chr11	5296965	5297465
chr11	5299865	5300405
chr11	5305765	5306265
chr11	5309265	5309785
chr11	5312405	5312905
chr11	5356345	5356865
chr11	5384865	5385865
chr11	5390985	5391525
chr11	5401905	5402405
chr11	5497365	5497905
chr11	5525445	5526425
chr11	5526632	5527165
chr11	5528225	5528845
chr11	5552225	5553025
chr11	5601856	5602745
chr11	5612845	5613365
chr11	5617085	5618225
chr11	5621485	5622005
chr11	5645905	5646425
chr11	5705825	5706589
chr11	5711465	5713165
chr11	5831105	5832125
chr11	6255691	6256425
chr11	6260071	6260571
chr11	6271005	6271525
chr11	6272285	6272825
chr11	6273045	6273565
chr11	6337005	6337505
chr11	6374525	6375085
chr11	6378385	6378885
chr11	6384205	6384725
chr11	6388465	6389005
chr11	6400385	6400905
chr11	6411305	6411893
chr11	6440145	6440645
chr11	6460125	6460645
chr11	6461385	6462504
chr11	6464565	6465065
chr11	6490225	6490765
chr11	6494964	6495645
chr11	6496445	6496945
chr11	6502385	6502959
chr11	6552465	6552965
chr11	6576005	6576965
chr11	6584445	6584965
chr11	6589645	6590185
chr11	6597805	6598305
chr11	6624630	6625187
chr11	6628085	6628585
chr11	6632465	6633025
chr11	6633225	6634225
chr11	6640145	6640965
chr11	6656445	6657245
chr11	6659125	6660125
chr11	6667265	6668705
chr11	6672125	6672645
chr11	6676830	6677330
chr11	6688965	6689465
chr11	6703145	6703645
chr11	6704382	6704905
chr11	6711465	6712465
chr11	6715125	6715645
chr11	6724625	6725145
chr11	6727065	6727585
chr11	6732685	6733185
chr11	6749385	6749925
chr11	6759025	6759525
chr11	6766205	6767325
chr11	6768425	6768925
chr11	6776485	6776985
chr11	6778565	6779065
chr11	6833525	6834065
chr11	6947365	6947903
chr11	6947905	6948405
chr11	7041336	7041949
chr11	7093745	7094245
chr11	7100885	7101425
chr11	7102005	7102505
chr11	7119385	7119885
chr11	7272930	7273430
chr11	7299525	7300065
chr11	7463705	7464285
chr11	7534685	7535425
chr11	5301600	5302400
chr11	5301600	5302400
chr11	5301600	5302400
chr11	5301600	5302400
chr11	5301600	5302400
chr17	40851240	40851334
chr6	109625629	109626129
chr1	3691278	3691778
chr6	109625629	109626129
chr1	3691278	3691778
chr20	55990155	55990155
chr20	55990155	55990155
chr1	3691278	3691778
chrX	55054662	55054701
chr1	29210606	29210645
chr1	29211591	29211630
chr19	44278759	44278798
chr10	127505227	127505304
chr18	72265021	72265042
chr17	56409627	56409896
chr6	135644462	135644615
chr5	111496632	111496741
chr17	56409627	56409896
chr18	72265021	72265042
chr11	61602067	61602390
chr11	61609256	61609274
chr11	61739083	61739510
chr11	5305924	5306090
chr11	5309413	5309590
chr11	5296984	5297290
chr11	5305924	5306090
chr11	5309413	5309590
chr6	37018088	37018230
chr6	37151047	37151290
chr7	106650779	106650797
chr17	31220757	31222033
chr17	31224570	31224590
chr17	31236528	31240709
chr17	31237036	31237145
chr17	31220757	31222033
chr17	31236528	31240709
chr17	31237036	31237145
chr17	31220757	31222033
chr17	31236528	31240709
chr17	31237036	31237145
chr12	56400867	56400888
chr19	48812505	48813005
chr19	48817545	48818085
chr19	48824385	48824925
chr19	48824985	48825585
chr19	48828378	48829005
chr19	48829105	48829625
chr19	48835885	48836625
chr19	48837085	48837585
chr19	48842585	48843105
chr19	48848065	48848565
chr19	48854445	48854985
chr19	48857765	48858285
chr19	48860245	48860765
chr19	48866225	48866745
chr19	48867065	48867900
chr19	48882305	48882825
chr19	48888265	48888845
chr19	48893765	48894265
chr19	48894560	48895125
chr19	48901785	48902565
chr19	48902785	48903825
chr19	48906765	48907285
chr19	48918625	48919125
chr19	48921865	48922365
chr19	48926705	48927225
chr19	48927925	48928445
chr19	48948385	48949865
chr19	48965525	48966045
chr19	48972065	48972714
chr19	48994265	48995185
chr19	48995945	48996445
chr19	48996485	48997025
chr19	49004845	49005805
chr19	49013725	49014245
chr19	49016965	49017545
chr19	49057025	49057525
chr19	49061365	49061885
chr19	49066245	49067065
chr19	49068145	49068725
chr19	49071505	49072065
chr19	49077845	49078345
chr19	49087405	49087905
chr19	49092065	49092605
chr19	49104805	49105305
chr19	49111965	49112605
chr19	49122297	49122925
chr19	49127205	49127745
chr19	49136565	49137065
chr19	49137625	49138125
chr19	49138385	49139005
chr19	49140557	49141785
chr19	49142125	49142625
chr19	49147965	49148465
chr19	49149245	49150285
chr19	49155845	49156345
chr19	49164145	49164725
chr19	49178545	49179065
chr19	49181385	49181885
chr19	49184245	49184745
chr19	49188705	49189225
chr19	49201245	49201785
chr19	49217245	49217905
chr19	49223765	49224305
chr19	49228065	49228565
chr19	49240545	49241065
chr19	49241785	49242285
chr19	49243720	49245145
chr19	49248365	49248885
chr19	49249985	49250765
chr19	49251085	49251625
chr19	49256667	49257845
chr19	49258505	49259065
chr19	49269005	49269505
chr19	49277645	49278145
chr19	49284045	49284685
chr19	49287765	49288285
chr19	49291305	49291865
chr19	49298545	49299065
chr19	49309805	49310825
chr19	49314070	49314625
chr19	49315365	49315905
chr19	49319185	49319685
chr19	49322685	49323205
chr19	49333325	49333845
chr19	49338885	49339405
chr19	49345685	49346405
chr19	49347645	49348165
chr19	49357245	49357765
chr19	49361765	49362265
chr19	49362425	49362945
chr19	49363225	49363765
chr19	49370285	49370805
chr19	49375325	49375898
chr19	49376085	49376585
chr19	49376745	49377245
chr19	49377625	49378145
chr19	49378405	49379925
chr19	49381225	49382185
chr19	49391365	49391905
chr19	49393745	49394245
chr19	49395065	49395625
chr19	49399345	49399905
chr19	49401746	49402745
chr19	49403056	49403725
chr19	49421898	49422585
chr19	49430065	49430565
chr19	49436585	49437188
chr19	49446285	49446805
chr19	49454265	49454865
chr19	49467725	49468815
chr19	49469005	49469505
chr19	49470805	49471705
chr19	49473045	49473565
chr19	49474085	49474605
chr19	49479345	49479885
chr19	49482085	49482585
chr19	49486785	49487285
chr19	49495365	49495905
chr19	49496360	49497345
chr19	49520885	49521385
chr19	49522305	49523045
chr19	49534785	49535418
chr19	49539941	49540505
chr19	49541805	49542325
chr19	49558747	49559725
chr19	49574965	49575505
chr19	49577085	49577585
chr19	49578045	49578565
chr19	49584465	49584965
chr19	49588146	49588845
chr19	49600945	49601505
chr19	49609745	49610265
chr19	49613725	49614245
chr19	49616845	49617867
chr19	49619745	49620265
chr19	49621765	49622895
chr19	49631065	49631765
chr19	49632465	49632985
chr19	49636645	49637145
chr19	49639205	49639745
chr19	49646085	49646585
chr19	49650945	49651825
chr19	49652425	49653365
chr19	49653525	49654085
chr19	49654785	49655285
chr19	49658165	49659745
chr19	49660745	49661725
chr19	49665225	49665725
chr19	49680225	49680725
chr19	49702045	49702565
chr19	49703485	49704025
chr19	49710985	49711965
chr19	49713185	49714125
chr19	49716965	49717525
chr19	49728025	49728545
chr19	49729185	49729685
chr19	49770065	49770625
chr19	49804405	49804965
chr19	49831025	49831585
chr19	49831645	49832165
chr19	49834705	49835265
chr19	49838085	49838926
chr19	49842065	49842605
chr19	49843445	49843945
chr19	49851005	49851525
chr19	49866745	49867291
chr19	49891088	49891724
chr19	49895045	49895585
chr19	48812505	48813005
chr19	48817545	48818085
chr19	48824385	48824925
chr19	48824985	48825585
chr19	48828378	48829005
chr19	48829105	48829625
chr19	48835885	48836625
chr19	48837085	48837585
chr19	48842585	48843105
chr19	48848065	48848565
chr19	48854445	48854985
chr19	48857765	48858285
chr19	48860245	48860765
chr19	48866225	48866745
chr19	48867065	48867900
chr19	48882305	48882825
chr19	48888265	48888845
chr19	48893765	48894265
chr19	48894560	48895125
chr19	48901785	48902565
chr19	48902785	48903825
chr19	48906765	48907285
chr19	48918625	48919125
chr19	48921865	48922365
chr19	48926705	48927225
chr19	48927925	48928445
chr19	48948385	48949865
chr19	48965525	48966045
chr19	48972065	48972714
chr19	48994265	48995185
chr19	48995945	48996445
chr19	48996485	48997025
chr19	49004845	49005805
chr19	49013725	49014245
chr19	49016965	49017545
chr19	49057025	49057525
chr19	49061365	49061885
chr19	49066245	49067065
chr19	49068145	49068725
chr19	49071505	49072065
chr19	49077845	49078345
chr19	49087405	49087905
chr19	49092065	49092605
chr19	49111965	49112605
chr19	49122297	49122925
chr19	49127205	49127745
chr19	49136565	49137065
chr19	49137625	49138125
chr19	49138385	49139005
chr19	49140557	49141785
chr19	49142125	49142625
chr19	49147965	49148465
chr19	49149245	49150285
chr19	49164145	49164725
chr19	49178545	49179065
chr19	49181385	49181885
chr19	49184245	49184745
chr19	49188705	49189225
chr19	49201245	49201785
chr19	49217245	49217905
chr19	49223765	49224305
chr19	49228065	49228565
chr19	49240545	49241065
chr19	49241785	49242285
chr19	49243720	49245145
chr19	49248365	49248885
chr19	49249985	49250765
chr19	49251085	49251625
chr19	49256667	49257845
chr19	49258505	49259065
chr19	49269005	49269505
chr19	49277645	49278145
chr19	49284045	49284685
chr19	49287765	49288285
chr19	49291305	49291865
chr19	49315365	49315905
chr19	49319185	49319685
chr19	49322685	49323205
chr19	49333325	49333845
chr19	49338885	49339405
chr19	49345685	49346405
chr19	49347645	49348165
chr19	49357245	49357765
chr19	49361765	49362265
chr19	49362425	49362945
chr19	49363225	49363765
chr19	49370285	49370805
chr19	49375325	49375898
chr19	49376085	49376585
chr19	49376745	49377245
chr19	49377625	49378145
chr19	49378405	49379925
chr19	49381225	49382185
chr19	49391365	49391905
chr19	49393745	49394245
chr19	49395065	49395625
chr19	49399345	49399905
chr19	49403056	49403725
chr19	49421898	49422585
chr19	49430065	49430565
chr19	49436585	49437188
chr19	49446285	49446805
chr19	49454265	49454865
chr19	49457745	49458366
chr19	49465505	49466025
chr19	49466965	49467465
chr19	49467725	49468815
chr19	49469005	49469505
chr19	49470805	49471705
chr19	49473045	49473565
chr19	49474085	49474605
chr19	49479345	49479885
chr19	49482085	49482585
chr19	49486785	49487285
chr19	49495365	49495905
chr19	49496360	49497345
chr19	49520885	49521385
chr19	49522305	49523045
chr19	49534785	49535418
chr19	49539941	49540505
chr19	49541805	49542325
chr19	49558747	49559725
chr19	49574965	49575505
chr19	49577085	49577585
chr19	49584465	49584965
chr19	49588146	49588845
chr19	49600945	49601505
chr19	49609745	49610265
chr19	49613725	49614245
chr19	49616845	49617867
chr19	49619745	49620265
chr19	49621765	49622895
chr19	49631065	49631765
chr19	49632465	49632985
chr19	49636645	49637145
chr19	49639205	49639745
chr19	49646085	49646585
chr19	49650945	49651825
chr19	49652425	49653365
chr19	49653525	49654085
chr19	49654785	49655285
chr19	49658165	49659745
chr19	49660745	49661725
chr19	49665225	49665725
chr19	49680225	49680725
chr19	49702045	49702565
chr19	49703485	49704025
chr19	49710985	49711965
chr19	49713185	49714125
chr19	49716965	49717525
chr19	49728025	49728545
chr19	49729185	49729685
chr19	49770065	49770625
chr19	49804405	49804965
chr19	49831025	49831585
chr19	49831645	49832165
chr19	49834705	49835265
chr19	49838085	49838926
chr19	49842065	49842605
chr19	49843445	49843945
chr19	49851005	49851525
chr19	49866745	49867291
chr19	49891088	49891724
chr19	49895045	49895585
chr19	12313025	12313565
chr19	12404485	12405065
chr19	12405464	12405965
chr19	12441885	12442945
chr19	12444284	12444845
chr19	12476225	12476805
chr19	12511838	12512405
chr19	12522625	12523145
chr19	12551676	12552205
chr19	12595382	12595925
chr19	12605985	12606485
chr19	12632705	12633245
chr19	12654525	12655045
chr19	12655125	12655625
chr19	12662106	12662665
chr19	12674785	12675285
chr19	12721373	12721981
chr19	12750825	12751345
chr19	12758305	12758885
chr19	12777325	12777867
chr19	12780145	12780725
chr19	12782725	12783305
chr19	12787065	12787585
chr19	12791925	12792425
chr19	12792451	12792985
chr19	12807205	12807765
chr19	12813805	12814305
chr19	12827685	12828205
chr19	12832705	12833225
chr19	12833305	12833805
chr19	12834545	12835060
chr19	12847665	12848522
chr19	12868285	12868805
chr19	12871305	12871845
chr19	12876785	12877345
chr19	12886184	12886825
chr19	12888325	12888845
chr19	12889945	12890545
chr19	12893105	12893985
chr19	12895265	12895785
chr19	12900645	12901165
chr19	12902005	12902559
chr19	12904165	12904665
chr19	12906845	12907745
chr19	12912425	12912974
chr19	12916645	12917677
chr19	12925705	12926305
chr19	12935945	12936745
chr19	12939125	12939705
chr19	12941239	12941805
chr19	12943165	12943725
chr19	12946045	12946545
chr19	12947025	12947525
chr19	12948705	12949508
chr19	12951265	12951825
chr19	12951925	12952425
chr19	12958325	12958825
chr19	12977965	12978745
chr19	12983025	12983525
chr19	12983645	12984185
chr19	12992085	12992645
chr19	12993385	12993885
chr19	12994425	12994945
chr19	12995825	12996325
chr19	12996905	12998745
chr19	12999705	13000205
chr19	13001505	13002192
chr19	13019305	13019805
chr19	13029836	13030425
chr19	13044308	13044885
chr19	13044985	13045485
chr19	13045805	13046305
chr19	13047265	13047765
chr19	13049025	13049663
chr19	13056305	13057565
chr19	13067818	13068345
chr19	13075665	13076805
chr19	13085005	13085525
chr19	13088545	13089065
chr19	13094325	13094825
chr19	13095965	13096465
chr19	13107305	13107805
chr19	13123985	13124525
chr19	13127205	13127805
chr19	13133545	13134045
chr19	13144765	13145325
chr19	13162305	13162805
chr19	13172085	13172605
chr19	13180365	13180865
chr19	13190225	13190725
chr19	13204505	13205025
chr19	13208405	13209625
chr19	13213425	13214345
chr19	13215145	13215725
chr19	13227213	13228345
chr19	13228625	13229351
chr19	13229485	13229985
chr19	13260938	13261531
chr19	13262245	13262985
chr19	13263605	13264105
chr19	13266245	13266765
chr19	13273605	13274145
chr19	13274445	13275785
chr19	13283085	13283605
chr19	13301925	13302425
chr19	13305225	13305845
chr19	13306445	13306985
chr19	13323585	13324085
chr19	13345245	13345765
chr19	13358545	13359065
chr19	13371805	13372345
chr19	13373145	13373685
chr19	13387865	13388365
chr19	13388705	13389265
chr19	13492665	13493165
chr19	13507325	13507905
chr19	13512165	13512685
chr19	13539145	13539665
chr19	13648285	13648785
chr19	13693805	13694345
chr19	12313025	12313565
chr19	12404485	12405065
chr19	12405464	12405965
chr19	12441885	12442945
chr19	12444284	12444845
chr19	12476225	12476805
chr19	12511838	12512405
chr19	12522625	12523145
chr19	12551676	12552205
chr19	12595382	12595925
chr19	12605985	12606485
chr19	12632705	12633245
chr19	12654525	12655045
chr19	12655125	12655625
chr19	12662106	12662665
chr19	12674785	12675285
chr19	12721373	12721981
chr19	12750825	12751345
chr19	12758305	12758885
chr19	12777325	12777867
chr19	12780145	12780725
chr19	12782725	12783305
chr19	12787065	12787585
chr19	12791925	12792425
chr19	12792451	12792985
chr19	12807205	12807765
chr19	12813805	12814305
chr19	12827685	12828205
chr19	12832705	12833225
chr19	12833305	12833805
chr19	12834545	12835060
chr19	12845325	12845839
chr19	12847665	12848522
chr19	12868285	12868805
chr19	12871305	12871845
chr19	12876785	12877345
chr19	12886184	12886825
chr19	12888325	12888845
chr19	12889945	12890545
chr19	12893105	12893985
chr19	12895265	12895785
chr19	12900645	12901165
chr19	12902005	12902559
chr19	12904165	12904665
chr19	12906845	12907745
chr19	12912425	12912974
chr19	12916645	12917677
chr19	12935945	12936745
chr19	12939125	12939705
chr19	12941239	12941805
chr19	12943165	12943725
chr19	12946045	12946545
chr19	12947025	12947525
chr19	12948705	12949508
chr19	12951265	12951825
chr19	12951925	12952425
chr19	12958325	12958825
chr19	12977965	12978745
chr19	12983025	12983525
chr19	12983645	12984185
chr19	12992085	12992645
chr19	12993385	12993885
chr19	12994425	12994945
chr19	12995825	12996325
chr19	12996905	12998745
chr19	13001505	13002192
chr19	13019305	13019805
chr19	13029836	13030425
chr19	13044308	13044885
chr19	13044985	13045485
chr19	13047265	13047765
chr19	13067818	13068345
chr19	13075665	13076805
chr19	13085005	13085525
chr19	13088545	13089065
chr19	13094325	13094825
chr19	13095965	13096465
chr19	13107305	13107805
chr19	13123985	13124525
chr19	13127205	13127805
chr19	13133545	13134045
chr19	13144765	13145325
chr19	13162305	13162805
chr19	13172085	13172605
chr19	13180365	13180865
chr19	13190225	13190725
chr19	13204505	13205025
chr19	13208405	13209625
chr19	13213425	13214345
chr19	13215145	13215725
chr19	13227213	13228345
chr19	13228625	13229351
chr19	13229485	13229985
chr19	13260938	13261531
chr19	13262245	13262985
chr19	13263605	13264105
chr19	13266245	13266765
chr19	13273605	13274145
chr19	13274445	13275785
chr19	13283085	13283605
chr19	13301925	13302425
chr19	13305225	13305845
chr19	13306445	13306985
chr19	13323585	13324085
chr19	13345245	13345765
chr19	13358545	13359065
chr19	13371805	13372345
chr19	13373145	13373685
chr19	13387865	13388365
chr19	13388705	13389265
chr19	13492665	13493165
chr19	13507325	13507905
chr19	13512165	13512685
chr19	13539145	13539665
chr19	13648285	13648785
chr19	13693805	13694345
chr8	128911142	128911209
chr8	128972637	128972748
chr8	129057457	129057958
chr8	129061537	129061789
chr8	130594026	130594707
chr8	130701606	130701940
chr8	130704704	130705463
chr3	127292685	127293205
chr3	127293725	127294245
chr3	127303265	127303845
chr3	127309352	127309925
chr3	127314125	127314645
chr3	127316945	127317449
chr3	127347585	127348251
chr3	127348905	127349405
chr3	127353445	127353945
chr3	127391465	127392045
chr3	127402465	127403005
chr3	127414885	127415485
chr3	127416205	127416705
chr3	127419965	127420485
chr3	127420905	127421445
chr3	127425785	127426285
chr3	127448265	127448765
chr3	127609345	127609845
chr3	127729945	127730485
chr3	127770845	127771461
chr3	127786325	127786825
chr3	127786865	127787365
chr3	127794325	127794902
chr3	127795605	127796485
chr3	127799065	127799585
chr3	127842505	127843005
chr3	127847065	127847565
chr3	127852385	127852885
chr3	127864025	127865005
chr3	127871725	127873065
chr3	127889705	127890205
chr3	127909265	127909825
chr3	127912465	127912965
chr3	127914145	127914685
chr3	127945565	127946125
chr3	127985205	127985705
chr3	128058225	128059225
chr3	128062345	128062845
chr3	128063965	128064505
chr3	128072825	128073345
chr3	128099505	128100005
chr3	128102265	128102785
chr3	128128845	128129365
chr3	128131325	128132705
chr3	128134065	128134565
chr3	128134685	128136105
chr3	128143185	128143945
chr3	128145125	128145805
chr3	128175865	128176365
chr3	128201605	128202445
chr3	128206514	128208295
chr3	128214185	128214725
chr3	128215225	128216165
chr3	128216385	128216885
chr3	128223685	128224185
chr3	128251705	128252205
chr3	128266145	128266645
chr3	128267505	128268525
chr3	128272805	128273385
chr3	128292545	128293145
chr3	128296625	128297185
chr3	128303145	128303645
chr3	128303965	128304565
chr3	128309725	128310305
chr3	128368825	128369325
chr3	128369469	128370485
chr3	128399345	128399845
chr3	128442065	128442605
chr3	128444645	128445228
chr3	128482725	128483225
chr3	128503085	128503585
chr3	128506685	128507185
chr3	128513125	128513645
chr3	128513785	128514285
chr3	128522905	128523405
chr3	128524565	128525145
chr3	128560985	128561525
chr3	128564565	128565085
chr3	128583705	128584685
chr3	128594325	128594845
chr3	128598082	128598645
chr3	128710125	128710965
chr3	128712745	128713265
chr3	128719905	128720721
chr3	128732225	128732725
chr3	128734545	128735105
chr3	128735365	128736285
chr3	128741085	128741585
chr3	128745765	128746265
chr3	128772125	128772685
chr3	128773385	128773905
chr3	128775585	128776145
chr3	128820445	128820965
chr3	128823345	128823885
chr3	128825105	128825625
chr3	128831125	128831645
chr3	128838345	128838865
chr3	128839305	128839805
chr3	128840397	128841185
chr3	128879325	128880805
chr3	128914485	128915005
chr3	128930565	128931065
chr3	128945145	128945685
chr3	128947965	128948485
chr3	128949025	128949945
chr3	128957705	128958225
chr3	128964465	128965005
chr3	128968125	128968702
chr3	128997445	128998066
chr3	128998365	128998905
chr3	129024465	129024965
chr3	129033625	129034125
chr3	129034863	129035485
chr3	129046285	129046785
chr3	129047445	129047945
chr3	129063325	129063825
chr3	129102085	129102585
chr3	129104285	129104945
chr3	129118032	129119345
chr3	129132045	129133425
chr3	129143005	129143505
chr3	129147244	129148185
chr3	129150825	129151345
chr3	129158125	129159272
chr3	129162925	129163465
chr3	129166985	129167525
chr3	129168525	129169705
chr3	129180305	129181665
chr3	129187685	129188305
chr3	129199985	129200865
chr3	129209005	129209505
chr3	129254745	129255245
chr3	129305045	129305565
chr3	129315565	129316065
chr3	129318325	129318865
chr3	129321905	129322905
chr3	129325332	129326225
chr3	129327385	129327945
chr3	129331285	129331785
chr3	129331825	129332325
chr3	129333625	129334165
chr3	129345465	129345965
chr3	129346665	129347165
chr3	129369025	129369525
chr3	129376505	129377645
chr3	129391845	129392345
chr3	129405805	129406325
chr3	129409145	129409665
chr3	129487485	129488045
chr3	129492705	129493305
chr3	129512725	129513245
chr3	129539405	129539905
chr3	129543725	129544225
chr3	129548265	129548865
chr3	129550745	129551245
chr3	129555465	129556005
chr3	129607505	129608025
chr3	129612045	129612963
chr3	129645845	129646385
chr3	129655605	129656125
chr3	129660945	129661485
chr3	129692985	129693485
chr3	129767545	129768045
chr3	129796425	129796945
chr3	129803365	129803905
chr3	129812345	129813405
chr12	54089985	54090485
