Supplementary Table 6a. Dataset of experimentally tested noncoding element-gene connections in K562 cells,,,,,,,,,,,,,,,,,,,,,,,
chr,start,end,Element name,Gene,class,Cell type,Fraction change in gene expr,Adjusted p-value,Significant,RNA readout method,Perturbation method,nKO,nCtrl,semKO,semCtrl,Power to detect 25% effects,Gene TSS,Normalized HiC Contacts,DHS (RPM),H3K27ac (RPM),Activity,ABC Score,Reference
chr8,128870905,128873425,genic|chr8:128871905-128872425,MYC,genic,K562,-0.00176291,0.691148767,FALSE,Proliferation Screen,KRAB-dCas9,83,3919,0.008255759,0.001571008,1,128748314,11.91409693,4.827833,3.070835,3.840435,0.003581646,Fulco2016
chr8,128877565,128880065,genic|chr8:128878565-128879065,MYC,genic,K562,0.01531621,0.18128536,FALSE,Proliferation Screen,KRAB-dCas9,62,3919,0.011753535,0.001571008,1,128748314,20.20167669,1.356376,0.92125,1.117838,0.001767695,Fulco2016
chr8,128886765,128889365,genic|chr8:128887765-128888365,MYC,genic,K562,0.00012099,0.637865741,FALSE,Proliferation Screen,KRAB-dCas9,75,3919,0.01361766,0.001571008,1,128748314,13.78444908,1.824244,1.637779,1.728499,0.001865089,Fulco2016
chr8,128901145,128904065,genic|chr8:128902145-128903065,MYC,genic,K562,-0.00676695,0.85592174,FALSE,Proliferation Screen,KRAB-dCas9,100,3919,0.010117871,0.001571008,1,128748314,17.24622088,3.337296,6.653476,4.713601,0.00636338,Fulco2016
chr8,128903245,128905745,genic|chr8:128905005-128905505-genic|chr8:128904245-128904745,MYC,genic,K562,-0.01377713,0.861630692,FALSE,Proliferation Screen,KRAB-dCas9,43,3919,0.012410645,0.001571008,1,128748314,19.92226207,3.442783,7.370004,4.939432,0.008032972,Fulco2016
chr8,128904005,128906505,genic|chr8:128905005-128905505-genic|chr8:128904245-128904745,MYC,genic,K562,-0.02940357,0.371210472,FALSE,Proliferation Screen,KRAB-dCas9,55,3919,0.015685664,0.001571008,1,128748314,19.92226207,3.442783,7.370004,4.939432,0.008032972,Fulco2016
chr8,128905785,128908325,genic|chr8:128906785-128907325-genic|chr8:128907905-128908405,MYC,genic,K562,-0.03747372,0.284255665,FALSE,Proliferation Screen,KRAB-dCas9,38,3919,0.013675853,0.001571008,1,128748314,22.59830327,9.603432,3.685002,5.928433,0.010487134,Fulco2016
chr8,128906905,128909405,genic|chr8:128906785-128907325-genic|chr8:128907905-128908405-genic|chr8:128908965-128909485,MYC,genic,K562,-0.04832842,0.535024173,FALSE,Proliferation Screen,KRAB-dCas9,8,3919,0.033453061,0.001571008,0.99999997,128748314,22.59830327,11.469244,13.511674,10.234769,0.018104851,Fulco2016
chr8,128907965,128910485,genic|chr8:128907905-128908405-genic|chr8:128908965-128909485,MYC,genic,K562,-0.04126198,0.065106054,FALSE,Proliferation Screen,KRAB-dCas9,67,3919,0.011231671,0.001571008,1,128748314,22.59830327,8.121695,12.180979,8.146197,0.01441026,Fulco2016
chr8,128916005,128918585,genic|chr8:128917005-128917585-genic|chr8:128918445-128918985,MYC,genic,K562,0.00118891,0.637865741,FALSE,Proliferation Screen,KRAB-dCas9,57,3919,0.012714066,0.001571008,1,128748314,16.96969588,4.782155,4.708614,4.668543,0.006201496,Fulco2016
chr8,128917445,128919985,genic|chr8:128917005-128917585-genic|chr8:128918445-128918985-genic|chr8:128919965-128920525,MYC,genic,K562,-0.00919012,0.963539534,FALSE,Proliferation Screen,KRAB-dCas9,58,3919,0.011646995,0.001571008,1,128748314,18.43625768,5.843812,5.834587,5.761884,0.008030391,Fulco2016
chr8,128918965,128921525,genic|chr8:128918445-128918985-genic|chr8:128919965-128920525,MYC,genic,K562,-0.02360129,0.627228357,FALSE,Proliferation Screen,KRAB-dCas9,46,3919,0.01211106,0.001571008,1,128748314,19.16953858,4.714073,3.992086,4.324015,0.006120386,Fulco2016
chr8,128922045,128924785,genic|chr8:128923045-128923785-genic|chr8:128923905-128924405,MYC,genic,K562,0.00260243,0.454531252,FALSE,Proliferation Screen,KRAB-dCas9,102,3919,0.007350695,0.001571008,1,128748314,21.36938129,11.943034,10.850283,11.080291,0.018534641,Fulco2016
chr8,128922905,128925405,genic|chr8:128923045-128923785-genic|chr8:128923905-128924405,MYC,genic,K562,0.01760109,0.171980596,FALSE,Proliferation Screen,KRAB-dCas9,55,3919,0.013800354,0.001571008,1,128748314,21.36938129,11.943034,10.850283,11.080291,0.018534641,Fulco2016
chr8,128924725,128927225,genic|chr8:128926445-128926985-genic|chr8:128925725-128926225,MYC,genic,K562,0.0104336,0.218710653,FALSE,Proliferation Screen,KRAB-dCas9,81,3919,0.008576871,0.001571008,1,128748314,19.59673526,7.978777,5.936947,5.481908,0.008409236,Fulco2016
chr8,128925445,128927985,genic|chr8:128926445-128926985-genic|chr8:128925725-128926225,MYC,genic,K562,-0.01873296,0.861630692,FALSE,Proliferation Screen,KRAB-dCas9,9,3919,0.022886047,0.001571008,1,128748314,19.59673526,7.978777,5.936947,5.481908,0.008409236,Fulco2016
chr8,128927405,128929925,genic|chr8:128928405-128928925-genic|chr8:128929245-128930145,MYC,genic,K562,-0.00133098,0.78733952,FALSE,Proliferation Screen,KRAB-dCas9,42,3919,0.016855969,0.001571008,1,128748314,19.59673526,7.17392,6.448753,6.818267,0.010459208,Fulco2016
chr8,128928245,128931145,genic|chr8:128930785-128931285-genic|chr8:128928405-128928925-genic|chr8:128929245-128930145,MYC,genic,K562,0.00464598,0.326245287,FALSE,Proliferation Screen,KRAB-dCas9,115,3919,0.007724415,0.001571008,1,128748314,17.64460151,8.320448,8.291254,8.266781,0.012017185,Fulco2016
chr8,128929785,128932285,genic|chr8:128931405-128931905-genic|chr8:128930785-128931285-genic|chr8:128932145-128932705-genic|chr8:128929245-128930145,MYC,genic,K562,-0.00382086,0.836255256,FALSE,Proliferation Screen,KRAB-dCas9,49,3919,0.0132757,0.001571008,1,128748314,15.20443434,10.480217,12.180978,11.049572,0.014418055,Fulco2016
chr8,128930405,128932905,genic|chr8:128931405-128931905-genic|chr8:128930785-128931285-genic|chr8:128932145-128932705,MYC,genic,K562,-0.02054825,0.694226693,FALSE,Proliferation Screen,KRAB-dCas9,50,3919,0.010221101,0.001571008,1,128748314,13.74033403,4.664917,6.960559,5.523139,0.005940518,Fulco2016
chr8,128931145,128933705,genic|chr8:128931405-128931905-genic|chr8:128930785-128931285-genic|chr8:128932145-128932705,MYC,genic,K562,-0.00452671,0.844496948,FALSE,Proliferation Screen,KRAB-dCas9,50,3919,0.010086202,0.001571008,1,128748314,13.74033403,4.664917,6.960559,5.523139,0.005940518,Fulco2016
chr8,128937265,128939805,genic|chr8:128938265-128938805,MYC,genic,K562,0.00530154,0.364384738,FALSE,Proliferation Screen,KRAB-dCas9,90,3919,0.009844523,0.001571008,1,128748314,12.3292881,5.014814,4.196808,4.591458,0.004431285,Fulco2016
chr8,128939265,128942065,genic|chr8:128940265-128941065,MYC,genic,K562,0.01576481,0.124582782,FALSE,Proliferation Screen,KRAB-dCas9,75,3919,0.011830389,0.001571008,1,128748314,20.76128339,3.764195,1.842501,2.624619,0.004265417,Fulco2016
chr8,128956665,128959265,genic|chr8:128958765-128959265-genic|chr8:128957665-128958265,MYC,genic,K562,0.00020395,0.637865741,FALSE,Proliferation Screen,KRAB-dCas9,75,3919,0.008530012,0.001571008,1,128748314,13.93420544,2.913886,5.220419,3.904039,0.004258311,Fulco2016
chr8,128957765,128960265,genic|chr8:128958765-128959265-genic|chr8:128957665-128958265,MYC,genic,K562,-0.02836669,0.551494792,FALSE,Proliferation Screen,KRAB-dCas9,33,3919,0.015786653,0.001571008,1,128748314,13.93420544,2.913886,5.220419,3.904039,0.004258311,Fulco2016
chr8,128959665,128962219,genic|chr8:128961765-128962285-promoter|chr8:128960665-128961219,MYC,promoter,K562,-0.00962074,0.98283933,FALSE,Proliferation Screen,KRAB-dCas9,39,3919,0.012055758,0.001571008,1,128748314,12.74197631,4.239059,6.755837,5.3591,0.005345271,Fulco2016
chr8,128960765,128963285,genic|chr8:128961765-128962285-promoter|chr8:128960665-128961219,MYC,promoter,K562,-0.01720335,0.719519858,FALSE,Proliferation Screen,KRAB-dCas9,95,3919,0.010760687,0.001571008,1,128748314,12.74197631,4.239059,6.755837,5.3591,0.005345271,Fulco2016
chr8,128962705,128965205,genic|chr8:128964265-128964965-genic|chr8:128963705-128964205,MYC,genic,K562,-0.03676669,0.361918563,FALSE,Proliferation Screen,KRAB-dCas9,31,3919,0.015432929,0.001571008,1,128748314,12.74197631,2.528363,3.173196,2.821698,0.002814417,Fulco2016
chr8,128963265,128965965,genic|chr8:128964265-128964965-genic|chr8:128963705-128964205,MYC,genic,K562,-0.0389671,0.146655539,FALSE,Proliferation Screen,KRAB-dCas9,55,3919,0.012753505,0.001571008,1,128748314,12.74197631,2.528363,3.173196,2.821698,0.002814417,Fulco2016
chr8,128969925,128972445,genic|chr8:128970925-128971445-genic|chr8:128971705-128972205,MYC,genic,K562,-0.08460528,2.09028E-07,TRUE,Proliferation Screen,KRAB-dCas9,57,3919,0.012812351,0.001571008,1,128748314,14.38244355,2.772671,9.007782,4.994596,0.005623078,Fulco2016
chr8,128973565,128976065,genic|chr8:128974565-128975065-genic|chr8:128973245-128974165,MYC,genic,K562,-0.11304734,1.15216E-07,TRUE,Proliferation Screen,KRAB-dCas9,31,3919,0.021548496,0.001571008,1,128748314,14.38244355,3.577813,21.700567,8.63099,0.009717048,Fulco2016
chr8,128978925,128981445,genic|chr8:128979925-128980445-genic|chr8:128980545-128981045,MYC,genic,K562,-0.03126112,0.362358865,FALSE,Proliferation Screen,KRAB-dCas9,48,3919,0.012987277,0.001571008,1,128748314,6.712934373,2.823306,6.346392,4.223222,0.002219205,Fulco2016
chr8,128979545,128982045,genic|chr8:128979925-128980445-genic|chr8:128980545-128981045-genic|chr8:128981545-128982045,MYC,genic,K562,-0.0228203,0.618982621,FALSE,Proliferation Screen,KRAB-dCas9,54,3919,0.013547731,0.001571008,1,128748314,6.712934373,4.363891,8.291254,5.965786,0.003134882,Fulco2016
chr8,128980545,128983045,genic|chr8:128980545-128981045-genic|chr8:128982865-128983385-genic|chr8:128981545-128982045,MYC,genic,K562,-0.00618242,0.861257855,FALSE,Proliferation Screen,KRAB-dCas9,57,3919,0.011191378,0.001571008,1,128748314,6.712934373,5.507413,7.267643,6.202649,0.003259348,Fulco2016
chr8,128981865,128984385,genic|chr8:128982865-128983385-genic|chr8:128981545-128982045,MYC,genic,K562,-0.04177246,0.175588397,FALSE,Proliferation Screen,KRAB-dCas9,40,3919,0.009494723,0.001571008,1,128748314,6.712934373,4.21885,4.299169,4.255018,0.002235913,Fulco2016
chr8,128987225,128989745,genic|chr8:128988225-128988745,MYC,genic,K562,-0.00209251,0.768795053,FALSE,Proliferation Screen,KRAB-dCas9,57,3919,0.012519384,0.001571008,1,128748314,16.97632978,1.330588,0.204722,0.521918,0.000693565,Fulco2016
chr8,128988905,128991425,genic|chr8:128989905-128990425,MYC,genic,K562,0.029253,0.106144804,FALSE,Proliferation Screen,KRAB-dCas9,34,3919,0.012546939,0.001571008,1,128748314,17.33433297,10.308717,1.433056,3.859527,0.005236996,Fulco2016
chr8,128991385,128993885,genic|chr8:128992385-128992885,MYC,genic,K562,0.00142213,0.637865741,FALSE,Proliferation Screen,KRAB-dCas9,59,3919,0.014688005,0.001571008,1,128748314,17.33433297,0.90627,1.433056,1.144355,0.001552777,Fulco2016
chr8,128998905,129001425,genic|chr8:128999905-129000425,MYC,genic,K562,0.00807678,0.394635974,FALSE,Proliferation Screen,KRAB-dCas9,59,3919,0.010278226,0.001571008,1,128748314,12.09096838,0.916176,0.92125,0.91871,0.000869522,Fulco2016
chr8,129003805,129006785,genic|chr8:129004805-129005785,MYC,genic,K562,-0.00307313,0.70547858,FALSE,Proliferation Screen,KRAB-dCas9,107,3919,0.007951729,0.001571008,1,128748314,11.44099911,1.800318,1.330695,1.531654,0.001371721,Fulco2016
chr8,129013645,129016225,genic|chr8:129014645-129015225,MYC,genic,K562,0.00515132,0.7380506,FALSE,Proliferation Screen,KRAB-dCas9,18,3919,0.018042945,0.001571008,1,128748314,17.45956052,4.952598,3.48028,4.143508,0.005662948,Fulco2016
chr8,129018705,129021225,genic|chr8:129019705-129020225,MYC,genic,K562,-0.02858409,0.595458944,FALSE,Proliferation Screen,KRAB-dCas9,28,3919,0.0203691,0.001571008,1,128748314,13.4525211,1.737395,1.330695,1.504649,0.001584455,Fulco2016
chr8,129022205,129024765,genic|chr8:129023205-129023765,MYC,genic,K562,0.00848205,0.637865741,FALSE,Proliferation Screen,KRAB-dCas9,23,3919,0.018974434,0.001571008,1,128748314,10.11467075,0.833255,0.614167,0.715374,0.000566404,Fulco2016
chr8,129025545,129028305,genic|chr8:129026545-129027305,MYC,genic,K562,-0.03037065,0.364384738,FALSE,Proliferation Screen,KRAB-dCas9,51,3919,0.017070414,0.001571008,1,128748314,14.17769159,8.049914,7.06292,7.556592,0.008386342,Fulco2016
chr8,129027645,129030165,genic|chr8:129028645-129029165,MYC,genic,K562,0.00065956,0.677949013,FALSE,Proliferation Screen,KRAB-dCas9,52,3919,0.010426095,0.001571008,1,128748314,14.17769159,2.81626,2.354307,2.576366,0.002859263,Fulco2016
chr8,129029945,129032445,genic|chr8:129030945-129031445,MYC,genic,K562,-0.00476644,0.844496948,FALSE,Proliferation Screen,KRAB-dCas9,59,3919,0.012584125,0.001571008,1,128748314,13.99333801,0.885925,1.228334,1.043172,0.001142663,Fulco2016
chr8,129041645,129044145,genic|chr8:129042645-129043145,MYC,genic,K562,0.02229608,0.212245631,FALSE,Proliferation Screen,KRAB-dCas9,33,3919,0.015095565,0.001571008,1,128748314,12.29040688,0.828653,1.228334,1.00889,0.000970624,Fulco2016
chr8,129046325,129048825,genic|chr8:129047325-129047825,MYC,genic,K562,-0.00265236,0.78733952,FALSE,Proliferation Screen,KRAB-dCas9,52,3919,0.010092423,0.001571008,1,128748314,13.25975639,6.229881,4.40153,5.222391,0.005420583,Fulco2016
chr8,129050505,129053025,genic|chr8:129051505-129052025,MYC,genic,K562,-0.01290082,0.861630692,FALSE,Proliferation Screen,KRAB-dCas9,71,3919,0.009212004,0.001571008,1,128748314,10.01564922,2.732635,1.330695,1.887022,0.001479439,Fulco2016
chr8,129058405,129060905,genic|chr8:129059405-129059905-genic|chr8:129058725-129059325-promoter|chr8:129060565-129061065,MYC,promoter,K562,-0.06413128,0.004147531,TRUE,Proliferation Screen,KRAB-dCas9,41,3919,0.016344948,0.001571008,1,128748314,13.7546514,13.202736,59.062392,26.69399,0.027137044,Fulco2016
chr8,129061805,129064645,genic|chr8:129062005-129062545-promoter|chr8:129061305-129061825-genic|chr8:129062805-129063645,MYC,promoter,K562,-0.03175511,0.194119199,FALSE,Proliferation Screen,KRAB-dCas9,80,3919,0.010695964,0.001571008,1,128748314,11.99328028,13.607118,48.416831,24.843836,0.023323714,Fulco2016
chr8,129068085,129070585,genic|chr8:129069085-129069585,MYC,genic,K562,-0.01485039,0.85592174,FALSE,Proliferation Screen,KRAB-dCas9,42,3919,0.013586906,0.001571008,1,128748314,12.84282879,2.283775,1.637779,1.933991,0.001944268,Fulco2016
chr8,129070125,129072625,genic|chr8:129071125-129071625,MYC,genic,K562,0.01165911,0.319972916,FALSE,Proliferation Screen,KRAB-dCas9,54,3919,0.013775306,0.001571008,1,128748314,11.77035039,1.997621,2.047223,2.023212,0.001864111,Fulco2016
chr8,129072645,129075145,genic|chr8:129074945-129075445-genic|chr8:129073645-129074145,MYC,genic,K562,-0.02305408,0.740762107,FALSE,Proliferation Screen,KRAB-dCas9,24,3919,0.021567167,0.001571008,1,128748314,11.7127193,3.530654,4.606253,3.829177,0.00351039,Fulco2016
chr8,129073945,129076445,genic|chr8:129074945-129075445-genic|chr8:129076385-129076945-genic|chr8:129073645-129074145,MYC,genic,K562,-0.01880811,0.78733952,FALSE,Proliferation Screen,KRAB-dCas9,38,3919,0.017140598,0.001571008,1,128748314,11.69350893,5.945872,7.779449,6.595129,0.006033878,Fulco2016
chr8,129075385,129077945,genic|chr8:129074945-129075445-genic|chr8:129077705-129078225-genic|chr8:129076385-129076945,MYC,genic,K562,0.01656477,0.212245631,FALSE,Proliferation Screen,KRAB-dCas9,49,3919,0.011399319,0.001571008,1,128748314,11.6550882,12.1963,13.818758,12.939575,0.01180529,Fulco2016
chr8,129076705,129079225,genic|chr8:129077705-129078225-genic|chr8:129076385-129076945-genic|chr8:129079145-129079705,MYC,genic,K562,-0.00665275,0.861630692,FALSE,Proliferation Screen,KRAB-dCas9,51,3919,0.015841066,0.001571008,1,128748314,11.6550882,10.866869,14.535286,12.525848,0.01142783,Fulco2016
chr8,129078145,129080705,genic|chr8:129077705-129078225-genic|chr8:129079145-129079705,MYC,genic,K562,-0.01603157,0.791675317,FALSE,Proliferation Screen,KRAB-dCas9,73,3919,0.01180608,0.001571008,1,128748314,11.6550882,8.451651,11.36209,9.759896,0.008904342,Fulco2016
chr8,129088185,129090685,genic|chr8:129089185-129089685-genic|chr8:129090145-129090685,MYC,genic,K562,0.00722431,0.326245287,FALSE,Proliferation Screen,KRAB-dCas9,83,3919,0.011426918,0.001571008,1,128748314,13.26740551,3.973286,3.889724,3.92775,0.004239358,Fulco2016
chr8,129089145,129091685,genic|chr8:129089185-129089685-genic|chr8:129090145-129090685,MYC,genic,K562,-0.00428158,0.847434085,FALSE,Proliferation Screen,KRAB-dCas9,43,3919,0.016262983,0.001571008,1,128748314,13.26740551,3.973286,3.889724,3.92775,0.004239358,Fulco2016
chr8,129093805,129096305,genic|chr8:129094805-129095305,MYC,genic,K562,-0.01100373,0.963539534,FALSE,Proliferation Screen,KRAB-dCas9,40,3919,0.01294354,0.001571008,1,128748314,12.28939169,0.828653,1.023612,0.920987,0.000885982,Fulco2016
chr8,129116125,129118625,intergenic|chr8:129118385-129118885-intergenic|chr8:129117125-129117625,MYC,intergenic,K562,0.00511175,0.530917036,FALSE,Proliferation Screen,KRAB-dCas9,53,3919,0.010733807,0.001571008,1,128748314,14.4365498,1.771147,1.330695,1.351283,0.001527041,Fulco2016
chr8,129117385,129119885,intergenic|chr8:129118385-129118885-intergenic|chr8:129117125-129117625,MYC,intergenic,K562,-0.00874642,0.955813972,FALSE,Proliferation Screen,KRAB-dCas9,55,3919,0.010680506,0.001571008,1,128748314,14.4365498,1.771147,1.330695,1.351283,0.001527041,Fulco2016
chr8,129139005,129141505,intergenic|chr8:129140005-129140505,MYC,intergenic,K562,-0.00139444,0.842267571,FALSE,Proliferation Screen,KRAB-dCas9,23,3919,0.01939452,0.001571008,1,128748314,13.68717334,2.756436,0.716528,1.405372,0.001505727,Fulco2016
chr8,129141085,129143605,intergenic|chr8:129142085-129142605,MYC,intergenic,K562,0.00495376,0.70547858,FALSE,Proliferation Screen,KRAB-dCas9,23,3919,0.018200211,0.001571008,1,128748314,13.68717334,1.844849,0.204722,0.614555,0.000658439,Fulco2016
chr8,129149525,129152025,intergenic|chr8:129150525-129151025-intergenic|chr8:129152025-129152525,MYC,intergenic,K562,0.00611891,0.535024173,FALSE,Proliferation Screen,KRAB-dCas9,45,3919,0.015244758,0.001571008,1,128748314,7.658072441,1.857055,1.637778,1.681777,0.001008159,Fulco2016
chr8,129151025,129153525,intergenic|chr8:129150525-129151025-intergenic|chr8:129152025-129152525,MYC,intergenic,K562,0.0271183,0.171980596,FALSE,Proliferation Screen,KRAB-dCas9,30,3919,0.017920805,0.001571008,1,128748314,7.658072441,1.857055,1.637778,1.681777,0.001008159,Fulco2016
